tick,completed_cumulative,completed_now,total_energy,dead_agents,latency_ms
0,0,0,24.5,0,4.208800004562363
1,0,0,47.0,0,2.786299999570474
2,0,0,72.14999999999999,0,1.8392999772913754
3,1,1,97.30000000000001,0,2.201400027843192
4,1,0,124.80000000000001,0,1.683499984210357
5,1,0,152.3,0,2.0391999860294163
6,1,0,178.85,0,2.061500010313466
7,1,0,206.55,0,1.7945999861694872
8,1,0,226.85000000000002,0,2.0508999878074974
9,2,1,247.29999999999998,0,2.3990999907255173
10,2,0,267.55,0,2.2668000019621104
11,2,0,287.79999999999995,0,2.6991000049747527
12,3,1,308.25000000000006,0,2.352100011194125
13,3,0,327.2,0,2.49800001620315
14,4,1,346.15,0,2.797699999064207
15,4,0,365.15000000000003,0,2.501300012227148
16,4,0,384.15000000000003,0,2.4639000184834003
17,4,0,403.15000000000003,0,2.5886000075843185
18,4,0,422.3,0,2.41800001822412
19,4,0,442.59999999999997,0,2.307699993252754
20,5,1,455.50000000000006,0,2.3345999943558127
21,5,0,474.5,0,2.4541000020690262
22,5,0,495.79999999999995,0,2.411299996310845
23,5,0,519.4,0,2.1476000256370753
24,5,0,543.0,0,2.0420000073499978
25,5,0,566.75,0,1.653899991651997
26,5,0,597.9,0,2.1330000017769635
27,5,0,619.4999999999999,0,1.8026999896392226
28,5,0,631.4,0,2.123300015227869
29,5,0,643.2999999999998,0,2.5308000040240586
30,5,0,650.0999999999999,0,2.343600004678592
31,5,0,656.8999999999999,0,2.115600014803931
32,5,0,663.6999999999999,0,2.4332999892067164
33,5,0,670.4999999999998,0,2.0905000274069607
34,5,0,683.5499999999997,0,2.4304999969899654
35,5,0,703.9999999999998,0,2.3871000157669187
36,5,0,717.0499999999997,0,2.3264000192284584
37,5,0,723.8499999999998,0,2.3187000188045204
38,5,0,745.4499999999999,0,4.871299985097721
39,5,0,764.7499999999999,0,3.2282999891322106
40,6,1,776.6499999999999,0,2.4434999795630574
41,6,0,787.2499999999998,0,2.07280000904575
42,6,0,797.9999999999999,0,1.9364000181667507
43,6,0,809.8999999999999,0,1.9171999883837998
44,7,1,821.7999999999998,0,2.141299977665767
45,7,0,838.5999999999998,0,1.6570999869145453
46,7,0,855.3999999999997,0,2.063399995677173
47,7,0,872.0499999999998,0,2.2366000048350543
48,7,0,889.8499999999998,0,2.0360999915283173
49,7,0,906.4999999999998,0,1.954700011992827
50,7,0,923.1499999999999,0,2.5618999789003283
51,8,1,942.3,0,2.0096999942325056
52,8,0,958.9499999999997,0,2.218199981143698
53,8,0,978.0999999999997,0,1.7380999925080687
54,8,0,997.2499999999999,0,2.042900014203042
55,8,0,1016.3999999999999,0,4.01799997780472
56,8,0,1035.5499999999997,0,2.233499981230125
57,9,1,1054.6999999999998,0,2.3176000104285777
58,9,0,1083.3999999999999,0,2.3271000245586038
59,10,1,1112.25,0,2.1164999925531447
60,10,0,1138.6,0,2.1112000104039907
61,10,0,1167.3999999999999,0,2.1594999998342246
62,10,0,1191.925,0,2.149499981896952
63,10,0,1214.1499999999999,0,2.0255999988876283
64,10,0,1236.3749999999998,0,1.7681000172160566
65,10,0,1251.2000000000003,0,1.705200003925711
66,10,0,1266.0249999999999,0,1.9320000137668103
67,10,0,1280.8500000000001,0,2.064600004814565
68,10,0,1295.6750000000002,0,2.0197000121697783
69,10,0,1310.5000000000002,0,2.0914000051561743
70,10,0,1316.775,0,2.0462000102270395
71,10,0,1320.1250000000002,0,2.024899993557483
72,10,0,1333.1750000000002,0,56.772799987811595
73,10,0,1346.2250000000004,0,1.9557999912649393
74,10,0,1350.7250000000001,0,1.6689000185579062
75,10,0,1356.3750000000002,0,2.1431999921333045
76,10,0,1369.4250000000002,0,2.6473000179976225
77,10,0,1381.325,0,2.063699997961521
78,10,0,1385.825,0,2.366700005950406
79,10,0,1390.3250000000003,0,2.6329999964218587
80,10,0,1395.9750000000004,0,2.3286999785341322
81,10,0,1402.7750000000008,0,2.5006000068970025
82,10,0,1416.4500000000007,0,2.470999985234812
83,10,0,1430.1250000000005,0,2.395899995462969
84,11,1,1443.8000000000009,0,2.357000019401312
85,11,0,1458.3250000000007,0,1.7826999828685075
86,11,0,1472.8500000000006,0,1.9970000139437616
87,12,1,1484.450000000001,0,2.399599994532764
88,12,0,1493.5500000000009,0,1.7749000107869506
89,12,0,1502.650000000001,0,2.013799996348098
90,12,0,1514.2500000000011,0,1.8562999903224409
91,12,0,1525.8500000000008,0,1.9329999922774732
92,12,0,1538.6000000000008,0,2.1158999879844487
93,12,0,1551.500000000001,0,2.4164000060409307
94,12,0,1563.250000000001,0,2.3754999856464565
95,12,0,1575.0000000000011,0,2.0588999905157834
96,12,0,1586.750000000001,0,2.1665000240318477
97,12,0,1597.500000000001,0,2.323599997907877
98,12,0,1600.8500000000013,0,2.1758000075351447
99,12,0,1611.600000000001,0,2.0346000092104077
100,12,0,1622.3500000000013,0,2.2822000028099865
101,12,0,1636.025000000001,0,2.2290999768301845
102,12,0,1650.850000000001,0,2.444799989461899
103,12,0,1658.2750000000015,0,2.410300017800182
104,13,1,1672.9500000000012,0,2.3529999889433384
105,13,0,1687.475000000001,0,1.9653000053949654
106,13,0,1694.6000000000013,0,1.7365000094287097
107,13,0,1701.8750000000014,0,1.7186000186484307
108,13,0,1709.1500000000017,0,2.262099995277822
109,13,0,1723.8250000000014,0,2.820699999574572
110,13,0,1738.5000000000014,0,3.173500008415431
111,13,0,1745.9250000000015,0,2.289500000188127
112,13,0,1753.3500000000015,0,2.714000002015382
113,13,0,1768.1750000000018,0,2.76909998501651
114,13,0,1783.0000000000016,0,2.2641999821644276
115,13,0,1790.4250000000015,0,2.7793000044766814
116,14,1,1797.850000000002,0,2.435300004435703
117,14,0,1802.3500000000015,0,2.0389000128488988
118,14,0,1808.6250000000016,0,2.48320001992397
119,14,0,1814.900000000002,0,2.197800000431016
120,14,0,1822.3250000000019,0,2.0834000024478883
121,14,0,1837.150000000002,0,2.4572999973315746
122,14,0,1850.8250000000019,0,2.919799997471273
123,14,0,1857.100000000002,0,2.391899994108826
124,14,0,1870.7750000000024,0,2.0874000038020313
125,14,0,1884.4500000000019,0,2.5803000025916845
126,14,0,1898.125000000002,0,1.9191000028513372
