tick,completed_cumulative,completed_now,total_energy,dead_agents,latency_ms
0,0,0,24.5,0,6.380700011504814
1,0,0,49.0,0,2.4653000000398606
2,0,0,73.65,0,2.4431000056210905
3,0,0,98.45,0,2.42979999165982
4,1,1,125.75,0,2.3172000073827803
5,2,1,155.39999999999998,0,2.4256999895442277
6,2,0,180.24999999999997,0,1.9831999961752445
7,2,0,205.29999999999998,0,2.126400009728968
8,2,0,225.25,0,2.375800017034635
9,2,0,245.5,0,2.054300013696775
10,2,0,263.45000000000005,0,2.1880000131204724
11,2,0,281.4,0,1.715000020340085
12,2,0,299.34999999999997,0,2.4339999945368618
13,2,0,318.6499999999999,0,2.0268000080250204
14,3,1,337.95000000000005,0,1.954700011992827
15,4,1,364.5,0,1.7268999945372343
16,5,1,391.2,0,2.1015999955125153
17,5,0,409.15,0,2.14239998604171
18,5,0,427.1,0,2.1185000077821314
19,5,0,445.05,0,1.720000000204891
20,5,0,458.09999999999997,0,2.053700009128079
21,5,0,471.15000000000003,0,2.0761000050697476
22,5,0,484.82499999999993,0,2.469700004439801
23,6,1,498.5,0,2.270099997986108
24,6,0,507.74999999999994,0,1.668999990215525
25,6,0,524.4,0,2.1037999831605703
26,6,0,540.05,0,2.1948000066913664
27,6,0,548.3,0,2.0210999937262386
28,6,0,556.55,0,1.969599979929626
29,6,0,564.7999999999998,0,2.0210999937262386
30,6,0,575.55,0,2.336200006539002
31,6,0,586.3,0,2.1321999956853688
32,6,0,604.4499999999999,0,2.018299972405657
33,7,1,615.1999999999998,0,2.324399974895641
34,7,0,618.3999999999999,0,2.3959000245667994
35,7,0,621.7499999999999,0,2.2505999950226396
36,7,0,633.6499999999999,0,2.4966999772004783
37,8,1,650.7749999999999,0,1.8994999991264194
38,8,0,667.7499999999999,0,2.0170999923720956
39,9,1,679.4999999999998,0,2.08020000718534
40,10,1,689.7499999999999,0,1.6743000014685094
41,10,0,702.7749999999999,0,2.02980000176467
42,10,0,714.7999999999997,0,2.0961000118404627
43,10,0,725.0499999999998,0,2.0432999881450087
44,10,0,738.2249999999998,0,2.344500011531636
45,10,0,752.8999999999999,0,2.0567000028677285
46,10,0,780.4499999999999,0,1.6407000075560063
47,10,0,807.9999999999998,0,2.1013000223319978
48,10,0,821.0499999999997,0,2.206900011515245
49,10,0,834.0999999999997,0,2.0972999918740243
50,10,0,849.4499999999998,0,2.1413999784272164
51,10,0,857.3999999999997,0,1.660699985222891
52,10,0,865.9749999999998,0,2.166399994166568
53,11,1,873.3999999999999,0,2.022100001340732
54,11,0,877.7499999999998,0,2.290100004756823
55,11,0,882.0999999999997,0,2.30679998639971
56,11,0,887.5999999999997,0,2.2766999900341034
57,11,0,900.4999999999998,0,2.4699000059626997
