tick,completed_cumulative,completed_now,total_energy,dead_agents,latency_ms
0,0,0,45.0,0,3420.9365000133403
1,0,0,85.1,0,2155.9358999948017
2,0,0,131.6,0,2389.8399000172503
3,0,0,178.1,0,1989.1445999965072
4,0,0,220.7,0,2902.5635000143666
5,0,0,263.29999999999995,0,1911.1198000027798
6,0,0,304.9,0,2595.384699990973
7,0,0,342.75000000000006,0,2481.2031000037678
8,0,0,387.1,0,1178.4423000062816
9,0,0,435.375,0,1163.9550999971107
10,0,0,483.65000000000003,0,2783.2414000004064
11,0,0,529.625,0,755.593800015049
12,0,0,578.525,0,665.9236999985296
13,0,0,625.4250000000001,0,521.6380000056233
14,0,0,673.625,0,602.4084000091534
15,0,0,722.825,0,759.3464000092354
16,0,0,769.725,0,457.7966000069864
17,0,0,818.5500000000001,0,604.7784000111278
18,0,0,863.6250000000001,0,610.1632000063546
19,0,0,916.1,0,1200.133000005735
20,0,0,968.5750000000002,0,1371.4476999884937
21,1,1,1008.7500000000001,0,1036.6796999878716
22,1,0,1056.3249999999998,0,1194.3908000248484
23,1,0,1109.0,0,1845.6466999778058
24,1,0,1162.975,0,997.8266000107396
25,2,1,1210.275,0,3433.2756000221707
26,3,1,1260.8999999999999,0,2850.296399992658
27,3,0,1313.825,0,2624.149400013266
28,3,0,1366.7500000000002,0,2490.4839000082575
29,3,0,1419.675,0,2344.7110000124667
30,3,0,1472.6000000000001,0,3419.6399000065867
31,4,1,1518.75,0,2134.8273000039626
32,4,0,1569.8000000000002,0,2200.4044000059366
33,5,1,1619.7000000000003,0,2014.950000011595
34,5,0,1668.3,0,1945.263999979943
35,6,1,1718.6750000000002,0,3185.975700005656
36,8,2,1761.5000000000002,0,2200.550800014753
37,8,0,1811.375,0,1478.005300014047
38,8,0,1863.5500000000002,0,787.5599999970291
39,8,0,1915.725,0,695.6101999967359
40,9,1,1962.15,0,682.3571000131778
41,9,0,2014.4250000000002,0,2057.7637999958824
42,10,1,2064.775,0,610.8412999892607
43,11,1,2105.125,0,549.7055999876466
44,12,1,2147.4500000000003,0,3439.9119000008795
45,12,0,2191.075,0,3718.2468000100926
46,13,1,2223.5499999999997,0,3250.2046000154223
47,13,0,2268.325,0,4950.344899989432
48,13,0,2313.1,0,4683.409599994775
49,13,0,2356.875,0,5723.405099997763
50,13,0,2401.65,0,5311.273900006199
51,14,1,2442.975,0,4248.101300006965
52,14,0,2487.6,0,4236.25549999997
53,14,0,2531.0750000000003,0,4034.7354999976233
54,14,0,2574.55,0,5044.266199984122
55,16,2,2610.025,0,4428.53040000773
56,16,0,2653.175,0,4155.752599996049
57,17,1,2691.425,0,3903.195600025356
58,17,0,2738.0750000000007,0,3855.1757999812253
59,17,0,2779.8250000000007,0,3781.756400014274
60,17,0,2827.9750000000004,0,4635.09259998682
61,18,1,2874.2000000000003,0,3462.4231999914628
62,18,0,2919.8000000000006,0,3605.353399994783
63,19,1,2962.2750000000005,0,3336.5515999903437
64,19,0,3013.1500000000005,0,3521.982800011756
65,20,1,3054.4750000000004,0,4171.626900002593
66,20,0,3095.6499999999996,0,4332.9252999974415
67,20,0,3146.1499999999996,0,4388.280899991514
68,22,2,3183.0,0,4070.3018000058364
69,22,0,3228.65,0,5252.475299988873
70,23,1,3270.3749999999995,0,5543.940300005488
71,23,0,3316.5499999999997,0,3781.497899995884
72,24,1,3361.575,0,3786.0456999915186
73,24,0,3402.7999999999997,0,3480.473100004019
74,25,1,3445.175,0,3636.1345000041183
75,25,0,3482.45,0,3765.661599987652
76,25,0,3524.9499999999994,0,4566.468399978476
77,26,1,3557.75,0,4465.1017999858595
78,26,0,3598.3749999999995,0,4646.914300014032
79,26,0,3632.8499999999995,0,4480.776699987473
80,26,0,3667.3249999999994,0,4400.550899998052
81,26,0,3699.5,0,4325.890199979767
